Dia Disp
46.592
47.032
49.996
51.178
53.182
54.724
56.984
58.972
60.126
61.9
62.824
63.038
64.0
65.374
66.248
66.176
67.47
68.03
68.77
69.02
70.1
70.454
70.554
70.53
70.284
71.834
71.338
71.0
71.352
71.744
70.908
71.794
71.234
70.938
71.878
71.066
70.806
71.446
70.906
72.336
73.04
73.28
73.272
74.05
72.634
72.866
71.812
72.508
72.252
72.084
72.13
72.456
71.71
71.996
71.152
71.43
72.322
71.556
72.192
72.374
70.72
71.634
71.07
71.036
71.158
70.912
71.6
71.944
70.846
70.814
70.702
69.602
70.464
69.688
70.854
72.296
71.382
70.938
70.36
70.666
70.926
70.888
70.904
70.86
70.132
69.906
70.484
70.052
69.812
69.608
69.54
69.734
52.608
52.594
51.32
49.826
48.538
47.408
46.614
46.076
44.9
44.788
44.914
44.044
43.838
43.884
45.192
49.032
51.06
53.424
54.032
54.924
55.47
56.298
57.116
57.792
59.09
58.244
58.74
59.784
60.164
61.272
61.516
61.54
60.684
61.958
61.308
61.362
61.756
62.36
62.15
62.704
62.344
62.918
62.118
62.608
62.832
62.862
63.324
62.494
63.044
64.082
63.038
63.81
64.168
63.334
63.162
63.822
63.492
63.84
63.576
63.164
64.49
63.12
64.068
64.33
63.526
64.068
64.782
64.81
65.046
64.356
64.296
64.676
64.814
64.674
64.518
64.458
64.596
64.832
65.584
65.532
64.54
65.44
65.016
65.55
64.582
65.49
64.648
64.77
65.854
64.822
64.814
65.038
65.254
64.87
64.688
65.008
65.094
65.792
65.678
65.8
64.61
64.616
64.788
64.8
64.018
64.272
64.364
64.598
64.812
65.488
65.714
65.304
43.114
42.278
44.318
47.282
48.848
50.286
51.452
52.292
53.92
55.824
57.056
56.722
57.71
58.578
60.03
59.7
60.932
62.102
63.49
64.62
65.094
64.88
64.884
65.272
65.478
66.826
66.216
66.298
67.272
67.904
67.97
67.836
67.914
68.192
67.482
68.344
68.582
68.116
68.924
68.924
68.582
69.896
67.72
68.968
69.412
68.62
69.54
69.994
69.3
69.41
69.826
69.8
70.02
69.8
69.65
70.468
70.126
70.002
70.472
69.702
70.378
71.306
70.402
71.126
71.708
71.386
70.798
70.63
71.096
71.148
70.778
71.05
71.456
71.914
72.004
70.21
69.962
66.94
64.588
62.486
60.566
59.224
57.722
56.286
55.098
54.224
52.846
52.166
51.194
50.424
49.906
48.82
48.268
47.838
46.712
46.528
46.2
50.346
52.75
54.486
55.798
58.122
